fixlog20250324065651.log:8=FIX4.4, 35=D, 34=54, 49=M3, 56=MS, 52=2025-03-24-06:58:33, 55=MSFT, 40=2, 38=30112, 21=2, 11=algo20250324065833, 60=2025-03-24-06:58:33, 54=1, 44=59.89, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2025-03-24-06:58:31, 55=AAPL, 40=2, 38=16406, 21=2, 11=algo20250324065831, 60=2025-03-24-06:58:31, 54=1, 44=1276.37, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=56, 49=M3, 56=MS, 52=2025-03-24-06:58:35, 55=AMZN, 40=2, 38=1303, 21=2, 11=algo20250324065835, 60=2025-03-24-06:58:35, 54=1, 44=133.47, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2025-03-24-06:58:36, 55=FB, 40=2, 38=31994, 21=2, 11=algo20250324065836, 60=2025-03-24-06:58:36, 54=2, 44=430.62, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=59, 49=M3, 56=MS, 52=2025-03-24-06:58:38, 55=GOOG, 40=2, 38=176, 21=2, 11=algo20250324065838, 60=2025-03-24-06:58:38, 54=2, 44=42.05, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=59, 49=M3, 56=MS, 52=2025-03-24-06:58:38, 55=GOOG, 40=2, 38=176, 21=2, 11=algo20250324065838, 60=2025-03-24-06:58:38, 54=2, 44=42.05, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=61, 49=M3, 56=MS, 52=2025-03-24-06:58:41, 55=GOOGL, 40=2, 38=20672, 21=2, 11=algo20250324065841, 60=2025-03-24-06:58:41, 54=1, 44=289.20, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=62, 49=M3, 56=MS, 52=2025-03-24-06:58:42, 55=INTC, 40=2, 38=1509, 21=2, 11=algo20250324065842, 60=2025-03-24-06:58:42, 54=1, 44=339.13, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=64, 49=M3, 56=MS, 52=2025-03-24-06:58:44, 55=PEP, 40=2, 38=18864, 21=2, 11=algo20250324065844, 60=2025-03-24-06:58:44, 54=2, 44=36.21, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=65, 49=M3, 56=MS, 52=2025-03-24-06:58:46, 55=NFLX, 40=2, 38=15560, 21=2, 11=algo20250324065846, 60=2025-03-24-06:58:46, 54=1, 44=306.71, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=66, 49=M3, 56=MS, 52=2025-03-24-06:58:47, 55=CSCO, 40=2, 38=30675, 21=2, 11=algo20250324065847, 60=2025-03-24-06:58:47, 54=1, 44=233.73, 10=0252,
